DR3Name;RAdeg;DEdeg;SolID;Source;RandomI;e_RAdeg;e_DEdeg;Plx;e_Plx;RPlx;PM;pmRA;e_pmRA;pmDE;e_pmDE;RADEcor;RAPlxcor;RApmRAcor;RApmDEcor;DEPlxcor;DEpmRAcor;DEpmDEcor;PlxpmRAcor;PlxpmDEcor;pmRApmDEcor;NAL;NAC;NgAL;NbAL;gofAL;chi2AL;epsi;sepsi;Solved;APF;nueff;pscol;e_pscol;RApscolCorr;DEpscolCorr;PlxpscolCorr;pmRApscolCorr;pmDEpscolCorr;MatchObsA;Nper;amax;MatchObs;NewMatchObs;MatchObsrm;IPDgofha;IPDgofhp;IPDfmp;IPDfow;RUWE;SDSk1;SDSk2;SDSk3;SDSk4;SDMk1;SDMk2;SDMk3;SDMk4;Dup;o_Gmag;FG;e_FG;RFG;Gmag;e_Gmag;o_BPmag;FBP;e_FBP;RFBP;BPmag;e_BPmag;o_RPmag;FRP;e_FRP;RFRP;RPmag;e_RPmag;E(BP/RP);NBPcont;NBPblend;NRPcont;NRPblend;Mode;BP-RP;BP-G;G-RP;RV;e_RV;n_RV;o_RV;o_RVd;RVNper;RVS/N;RVgof;RVchi2;RVTdur;RVamp;RVtempTeff;RVtemplogg;RVtemp[Fe/H];Vatmparam;Vbroad;e_Vbroad;o_Vbroad;GRVSmag;e_GRVSmag;o_GRVSmag;RVSS/N;VarFlag;GLON;GLAT;ELON;ELAT;QSO?;Gal?;NSS?;XPcont?;XPsamp?;RVS?;EpochPh?;EpochRV?;MCMCGSP?;MCMCMSC?;And?;PQSO;PGal;PSS;Teff;b_Teff;B_Teff;logg;b_logg;B_logg;[Fe/H];b_[Fe/H];B_[Fe/H];Dist;b_Dist;B_Dist;A0;b_A0;B_A0;AG;b_AG;B_AG;E(BP-RP);b_E(BP-RP);B_E(BP-RP);Lib;HIP;dHIP;nHIP;f_HIP;PS1coid;PS1;dPS1;nPS1;mPS1;f_PS1;SDSS13coid;SDSS13;dSDSS13;nSDSS13;mSDSS13;f_SDSS13;SKYM2;dSKYM2;nSKYM2;mSKYM2;f_SKYM2;TYC2;dTYC2;f_TYC2;TYC2moid;nTYC2;URAT1;dURAT1;f_URAT1;URAT1oid;nURAT1;mURAT1;AllWISE;dAllWISE;f_AllWISE;AllWISEoid;nAllWISE;mAllWISE;APASS9coid;APASS9;dAPASS9;nAPASS9;mAPASS9;f_APASS9;GSC23;dGSC23;f_GSC23;GSC23coid;nGSC23;mGSC23;RAVE5;dRAVE5;f_RAVE5;RAVE5coid;nRAVE5;2MASS;d2MASS;f_2MASS;2MASScoid;n2MASS;m2MASS;RAVE6;dRAVE6;f_RAVE6;RAVE6oid;nRAVE6;RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;RADEcorJ2000
Gaia DR3 604918179110923520;132.88569047044;11.84460716315;1636148068921376768;604918179110923520;641428318;0.0272;0.0139;1.1772;0.0313;37.5856;11.086;-10.660;0.037;-3.043;0.026;-0.2052;0.0693;0.0925;-0.0011;0.0142;0.0175;0.1394;0.1027;-0.2179;-0.0168;386;386;379;7;13.4264;2.0407e+03;0.203;5.0080e+01;31;0;1.667;;;;;;;;44;17;0.051904;48;7;0;1.134e-01;1.372e+01;0;0;1.528;;;;;;;;;0;372;252217.46551;1.00928e+02;2.49898e+03;12.182929;0.002789;40;1.63522e+05;1.21162e+02;1.34961e+03;12.304602;0.002904;40;1.29631e+05;6.53586e+01;1.98337e+03;11.966126;0.003819;1.162;0;0;0;0;0;0.338475;0.121673;0.216803;26.48;9.92;1;16;8;7;2.0942e+01;8.7556e-01;0.089312;489.429;120.59;7750.0;4.5;-0.25;555;;;;11.835324;0.032980;8;2.001760e+01;NOT_AVAILABLE;215.67755377984;31.96887969816;132.00528218033;-5.56240842510;0;0;0;1;1;1;0;0;1;1;0;0.000000;0.000000;0.999490;7958.1;7941.0;7978.0;4.2746;4.2377;4.3012;-0.4803;-0.5292;-0.4191;771.8073;757.8027;802.2963;0.1974;0.1914;0.2037;0.1812;0.1756;0.1871;0.0966;0.0936;0.0998;MARCS;;;;;1226392171;122211328858104048;0.040523;1;0;8;;;;;;;;;;;;;;;;;URAT1-510153273;0.054212;40;64579572;1;0;J085132.57+115040.5;0.114042;8;455025903;1;0;38526222;5188760;0.381851;1;0;8;N8X7000682;0.101940;8;621085645;1;0;;;;;;08513257+1150406;0.062973;8;328806896;1;0;;;;;;132.88573888038;11.84462068625;0.597219;0.415165;-0.0177
Gaia DR3 604917285757663872;132.83289299566;11.78343701656;1636148068921376768;604917285757663872;1621324409;0.0154;0.0088;1.1180;0.0185;60.2995;12.409;-11.660;0.019;-4.245;0.015;-0.2714;-0.0600;-0.0462;-0.0627;0.1697;-0.0030;0.0853;0.2607;-0.1393;-0.2495;373;373;367;6;0.6320;7.8482e+02;0.096;1.3283e+01;31;0;1.603;;;;;;;;44;18;0.027844;46;9;0;8.794e-02;1.269e+01;0;0;1.023;;;;;;;;;0;369;292315.21602;6.48806e+01;4.50543e+03;12.022738;0.002766;38;1.70973e+05;6.80471e+01;2.51257e+03;12.256221;0.002823;37;1.74954e+05;5.52550e+01;3.16629e+03;11.640588;0.003795;1.183;0;0;0;0;0;0.615633;0.233482;0.382151;35.29;1.38;1;16;7;12;2.7140e+01;1.5610e+00;0.113631;902.362;15.69;6500.0;4.5;0.00;222;;;;11.468121;0.013087;9;2.821989e+01;NOT_AVAILABLE;215.71752607810;31.89634196526;131.97202091803;-5.63532435746;0;0;0;1;1;1;0;0;1;1;0;0.000000;0.000000;0.999697;6539.6;6526.0;6553.3;3.9048;3.8692;3.9299;-0.1190;-0.1281;-0.1088;810.8589;785.0520;850.5417;0.1197;0.1129;0.1261;0.1045;0.0985;0.1101;0.0563;0.0530;0.0593;MARCS;;;;;1224954447;122141328329750816;0.340568;1;0;10;171704347;1237671262272290965;0.061446;1;0;8;;;;;;814-1937-1;0.047207;8;1548971;1;URAT1-509150396;0.047157;40;64378389;1;0;J085119.89+114700.4;0.099788;8;454668573;1;0;38499686;5188725;1.206242;1;1;8;N8X7000786;0.061088;8;620678536;1;0;;;;;;08511990+1147003;0.113519;8;328626993;1;0;;;;;;132.83294593370;11.78345588304;0.308302;0.237362;-0.2465
Gaia DR3 604914601402325504;132.78488564648;11.78669499519;1636148068921376768;604914601402325504;1155217035;0.0143;0.0079;1.2097;0.0168;72.0974;11.310;-10.963;0.018;-2.779;0.013;-0.2779;-0.0711;-0.1419;0.0607;0.1513;0.0668;-0.0977;0.0675;-0.1069;-0.1604;350;350;344;6;1.0163;6.2114e+02;0.073;7.6599e+00;31;0;1.484;;;;;;;;40;17;0.025772;41;9;0;8.778e-02;1.146e+01;0;0;1.038;;;;;;;;;0;347;264937.12281;5.34110e+01;4.96035e+03;12.129510;0.002764;40;1.22691e+05;5.80093e+01;2.11502e+03;12.616509;0.002837;39;2.01952e+05;5.69545e+01;3.54584e+03;11.484776;0.003792;1.225;0;0;0;0;0;1.131733;0.487000;0.644733;34.15;0.43;1;25;4;15;4.0710e+01;-2.1309e-01;0.491870;870.880;5.72;5000.0;3.5;0.00;222;6.0986;9.3802;21;11.222392;0.010829;21;4.183410e+01;NOT_AVAILABLE;215.69086651265;31.85503037226;131.92568314531;-5.64495406049;0;0;0;1;1;1;0;0;1;1;0;0.000000;0.000000;0.999976;4863.1;4862.2;4864.2;3.1345;3.1241;3.1460;-0.2628;-0.2646;-0.2611;862.8115;851.6986;873.3127;0.0003;0.0000;0.0010;0.0003;0.0000;0.0008;0.0001;0.0000;0.0005;PHOENIX;;;;;;;;;;;171728136;1237670964308476198;0.052982;1;0;8;;;;;;;;;;;URAT1-509150333;0.051665;40;64389234;1;0;J085108.37+114712.0;0.064253;8;454687519;1;0;38501144;5188665;0.046691;1;0;8;N8X7000781;0.170667;8;620700139;1;0;;;;;;08510839+1147121;0.060755;8;328636752;1;0;;;;;;132.78493542230;11.78670734662;0.295425;0.206721;-0.1643
Gaia DR3 604922748956025216;132.89902783468;11.89297338637;1636148068921376768;604922748956025216;1534820509;0.0143;0.0074;1.1370;0.0174;65.5037;11.552;-11.215;0.018;-2.769;0.012;-0.2090;0.0136;-0.1322;0.0364;0.0613;0.0681;-0.0693;0.3583;-0.2818;-0.1594;439;439;433;6;3.1533;9.6749e+02;0.085;1.1660e+01;31;0;1.481;;;;;;;;50;18;0.025531;52;10;1;5.328e-02;1.582e+01;0;0;1.109;;;;;;;;;0;444;296067.22566;6.10146e+01;4.85240e+03;12.008891;0.002764;49;1.35848e+05;5.01198e+01;2.71046e+03;12.505912;0.002819;45;2.27765e+05;8.73239e+01;2.60828e+03;11.354177;0.003802;1.228;0;0;0;0;0;1.151734;0.497021;0.654714;33.68;0.44;1;24;2;14;4.4597e+01;4.1103e-01;0.283497;902.362;8.63;5000.0;3.0;0.00;222;7.8061;6.1844;22;11.086808;0.009643;22;4.455462e+01;NOT_AVAILABLE;215.63218762212;32.00095800930;132.00468360235;-5.51231553933;0;0;0;1;1;1;0;0;0;1;0;0.000000;0.000000;0.999983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;URAT1-510153297;0.057505;40;64740025;1;0;J085135.76+115334.7;0.036938;8;455308283;1;0;38547144;5188872;0.048449;1;0;8;N8X7000614;0.211033;8;621408972;1;0;J085135.8+115335;0.051084;8;451703;1;08513577+1153347;0.060138;8;328958990;1;0;20120511_0850p11_138;0.051084;8;451591;1;132.89907877334;11.89298569242;0.287073;0.197155;-0.1624
Gaia DR3 604917388836860544;132.88514110293;11.79787151186;1636148068921376768;604917388836860544;778427132;0.0230;0.0122;1.2061;0.0274;44.0452;11.770;-11.541;0.028;-2.307;0.021;-0.2695;-0.0626;-0.0483;-0.0191;0.0792;0.0042;0.0358;0.2512;-0.2028;-0.2105;401;401;400;1;17.5363;1.7306e+03;0.178;4.2952e+01;31;0;1.561;;;;;;;;46;17;0.039954;48;10;1;7.763e-02;1.190e+01;0;0;1.684;;;;;;;;;0;387;191859.91460;3.69584e+01;5.19124e+03;12.479906;0.002763;43;1.04157e+05;5.25171e+01;1.98329e+03;12.794325;0.002843;44;1.25261e+05;3.67377e+01;3.40961e+03;12.003352;0.003793;1.196;0;0;0;0;0;0.790973;0.314419;0.476554;33.15;1.18;1;22;8;12;2.5038e+01;2.2738e-02;0.256593;902.362;16.45;5750.0;4.5;-0.25;111;;;;11.798326;0.015643;14;2.426914e+01;NOT_AVAILABLE;215.72731722889;31.94883173662;132.01753463017;-5.60752837202;0;0;1;1;1;1;0;0;0;1;0;0.000000;0.000000;0.999893;;;;;;;;;;;;;;;;;;;;;;;;;;;1225291140;122151328852397958;0.034980;1;0;8;171809573;1237671262272290955;0.046517;1;0;8;;;;;;;;;;;URAT1-509150493;0.053415;40;64426110;1;0;;;;;;;38506361;5188731;3.058388;1;1;10;N8X7000763;0.453754;8;620774932;1;0;;;;;;08513244+1147523;0.083963;8;328669709;1;0;;;;;;132.88519350473;11.79788176509;0.448048;0.329485;-0.2096
Gaia DR3 604916731706106752;132.92778912251;11.77678565518;1636148068921376768;604916731706106752;1792890806;0.0123;0.0061;2.0450;0.0150;136.5904;13.150;-7.647;0.015;-10.698;0.011;-0.2171;-0.0595;-0.1348;-0.0021;0.0413;0.0138;0.0234;0.3698;-0.2524;-0.2572;420;420;418;2;-2.9386;5.6018e+02;0.039;2.2418e+00;31;0;1.570;;;;;;;;48;18;0.022117;51;9;0;6.323e-02;2.164e+01;0;0;0.899;;;;;;;;;0;440;236360.19080;4.30578e+01;5.48937e+03;12.253431;0.002762;48;1.29879e+05;5.48063e+01;2.36978e+03;12.554698;0.002828;48;1.53026e+05;5.40525e+01;2.83106e+03;11.785982;0.003799;1.197;0;1;0;0;0;0.768716;0.301267;0.467449;153.80;0.93;1;25;6;12;3.0385e+01;-1.8131e+00;0.961672;902.362;12.60;5750.0;4.5;-0.75;101;;;;11.565971;0.026066;19;3.027244e+01;NOT_AVAILABLE;215.77049701717;31.97791055545;132.06366678225;-5.61645823432;0;0;0;1;1;1;0;0;0;1;0;0.000000;0.000000;0.999899;;;;;;;;;;;;;;;;;;;;;;;;;;;1224795275;122131329278832659;0.049018;1;0;8;171655742;1237671262272291296;0.090652;1;0;8;;;;;;814-1737-1;0.080317;8;1548851;1;URAT1-509150556;0.056973;40;64356556;1;0;J085142.67+114636.4;0.050507;8;454629422;1;0;38496727;5188711;0.490644;1;0;8;N8X7000800;0.164914;8;620634829;1;0;;;;;;08514268+1146365;0.050966;8;328607720;1;0;;;;;;132.92782383894;11.77683320389;0.244417;0.170569;-0.2560
Gaia DR3 604920923594172928;132.80665032202;11.84390991717;1636148068921376768;604920923594172928;281707126;0.0183;0.0103;1.0851;0.0237;45.7603;11.433;-11.074;0.023;-2.842;0.016;-0.3239;-0.1568;-0.1640;0.0888;0.2363;0.1429;-0.1014;0.4153;-0.2846;-0.2753;364;364;360;4;7.7596;1.0729e+03;0.119;1.9222e+01;31;0;1.560;;;;;;;;42;18;0.034227;44;9;1;5.791e-02;1.249e+01;27;0;1.304;;;;;;;;;0;334;259367.35142;6.60544e+01;3.92657e+03;12.152578;0.002769;41;1.50742e+05;1.74373e+02;8.64477e+02;12.392960;0.003060;40;1.91187e+05;1.26719e+02;1.50875e+03;11.544252;0.003847;1.318;0;41;0;40;0;0.848707;0.240381;0.608326;32.66;7.81;1;2;0;2;8.2003e+00;2.2538e+00;;285.664;;6000.0;2.5;-1.00;111;;;;11.305242;0.007638;2;;NOT_AVAILABLE;215.64017312557;31.89832292377;131.93067358732;-5.58410406450;0;0;0;1;1;0;0;0;1;1;0;0.000000;0.000000;0.999925;6095.6;6061.3;6124.9;3.5428;3.4975;3.5667;-1.3061;-1.4749;-1.1984;831.3179;808.2457;865.0336;0.4123;0.3927;0.4306;0.3495;0.3328;0.3653;0.1911;0.1821;0.2000;PHOENIX;;;;;1226375672;122211328067483167;0.099245;1;0;8;172146843;1237671125370339647;0.098011;1;0;8;;;;;;;;;;;URAT1-510153101;0.099023;40;64577252;1;0;J085113.59+115037.9;0.108860;8;455021616;1;0;38525945;5188823;2.828767;1;0;8;N8X7000683;0.166474;8;621081081;1;0;;;;;;08511360+1150380;0.128440;8;328804795;1;0;;;;;;132.80670061042;11.84392254994;0.372148;0.263329;-0.2819
Gaia DR3 604918076031622144;132.88390694835;11.83433138428;1636148068921376768;604918076031622144;1668541854;0.0195;0.0100;1.0569;0.0229;46.2369;11.623;-11.162;0.025;-3.240;0.018;-0.2139;0.0531;-0.0876;0.0081;0.0820;0.0453;-0.0099;0.2518;-0.1805;-0.1764;421;421;419;2;16.2438;1.6738e+03;0.140;2.8138e+01;31;0;1.569;;;;;;;;49;18;0.034987;51;9;0;9.050e-02;1.516e+01;0;0;1.614;;;;;;;;;0;431;190757.69266;3.74005e+01;5.10041e+03;12.486162;0.002764;43;1.05026e+05;5.05599e+01;2.07726e+03;12.785299;0.002839;42;1.22705e+05;4.52182e+01;2.71362e+03;12.025740;0.003801;1.194;0;1;0;0;0;0.759560;0.299137;0.460423;32.96;1.41;1;25;11;13;2.5414e+01;7.6088e-01;0.484425;870.880;15.89;5750.0;4.5;-0.25;111;17.1224;14.2087;7;11.826199;0.020036;14;;NOT_AVAILABLE;215.68769457168;31.96299532685;132.00640250539;-5.57277159868;0;0;0;1;1;0;0;0;0;1;0;0.000000;0.000000;0.999712;;;;;;;;;;;;;;;;;;;;;;;;;;;1226149162;122201328840061694;0.037833;1;0;40;;;;;;;;;;;;;;;;;URAT1-510153268;0.057013;40;64545858;1;0;J085132.14+115003.5;0.032544;8;454965472;1;0;38521814;5188756;0.250969;1;0;8;N8X7000701;0.138490;8;621016960;1;0;;;;;;08513214+1150036;0.058153;8;328776786;1;0;;;;;;132.88395763602;11.83434578486;0.396261;0.286546;-0.1776
Gaia DR3 604912780336153856;132.67311589297;11.74169573405;1636148068921376768;604912780336153856;673372125;0.0143;0.0076;1.4103;0.0164;86.2374;13.394;-13.369;0.018;0.820;0.014;-0.2852;-0.0077;-0.2105;0.1117;0.0711;0.1109;-0.1369;0.1186;0.0338;-0.3202;391;391;388;3;2.8866;7.9352e+02;0.078;9.2456e+00;31;0;1.525;;;;;;;;45;17;0.026937;47;9;0;6.406e-02;1.603e+01;0;0;1.105;;;;;;;;;0;393;255682.60654;4.64368e+01;5.50603e+03;12.168114;0.002762;46;1.29118e+05;5.05339e+01;2.55508e+03;12.561074;0.002822;46;1.80437e+05;4.69257e+01;3.84517e+03;11.607079;0.003790;1.211;0;0;0;1;0;0.953996;0.392961;0.561035;28.20;0.59;1;22;2;15;3.4535e+01;-4.9434e-01;0.657312;902.362;8.00;5250.0;1.0;-0.75;111;;;;11.365491;0.017148;20;3.497569e+01;NOT_AVAILABLE;215.68501164894;31.73682144622;131.83210883539;-5.71794568738;0;0;0;1;1;1;0;0;0;1;0;0.000000;0.000000;0.999931;5876.0;5868.1;5884.6;3.7469;3.7414;3.7525;-0.0628;-0.0683;-0.0585;720.6125;716.8943;724.4239;0.3612;0.3560;0.3662;0.2992;0.2948;0.3033;0.1596;0.1572;0.1619;PHOENIX;;;;;;;;;;;171398608;1237670964308410644;0.019410;1;0;8;;;;;;;;;;;URAT1-509150228;0.050900;40;64240802;1;0;J085041.55+114430.0;0.030009;8;454423867;1;0;38481547;5188641;0.022181;1;0;8;N8X7000127;0.054102;8;620401815;1;0;;;;;;08504156+1144300;0.088765;8;328504525;1;0;;;;;;132.67317657976;11.74169208879;0.294936;0.227237;-0.3245
Gaia DR3 604920683076006272;132.82918672382;11.83491893567;1636148068921376768;604920683076006272;1105506170;0.0121;0.0066;1.1486;0.0146;78.8120;11.323;-10.925;0.015;-2.976;0.011;-0.3104;-0.1462;-0.1559;-0.0445;0.1416;0.0139;0.0554;0.3237;-0.1402;-0.2891;366;366;366;0;-3.6252;4.2847e+02;0.026;8.7597e-01;31;0;1.567;;;;;;;;42;18;0.021697;44;9;0;6.266e-02;1.659e+01;1;0;0.867;;;;;;;;;0;354;208352.60386;5.54125e+01;3.76003e+03;12.390369;0.002770;38;1.14156e+05;8.48418e+01;1.34551e+03;12.694798;0.002905;38;1.34630e+05;8.08978e+01;1.66419e+03;11.925044;0.003835;1.194;0;0;0;0;0;0.769754;0.304429;0.465325;37.92;8.53;1;22;8;14;2.6936e+01;3.1653e+01;0.000000;870.954;110.55;5750.0;4.5;-0.50;111;78.2631;48.4658;10;11.734696;0.012642;14;2.658747e+01;NOT_AVAILABLE;215.66066170235;31.91459656329;131.95445644180;-5.58676524245;0;0;0;1;1;1;0;0;1;1;0;0.000000;0.000000;0.999712;5816.0;5805.7;5827.8;3.9532;3.9459;3.9708;-0.3206;-0.3318;-0.3063;799.9794;775.6236;811.3947;0.0249;0.0177;0.0323;0.0210;0.0149;0.0273;0.0113;0.0080;0.0147;MARCS;;;;;1226163075;122201328292902380;0.054807;1;0;8;172081456;1237671125370339657;0.067606;1;0;8;;;;;;;;;;;URAT1-510153150;0.052739;40;64547822;1;0;J085119.00+115005.7;0.055202;8;454969053;1;0;;;;;;;N8X7000698;0.085753;8;621020874;1;0;;;;;;08511901+1150057;0.040775;8;328778474;1;0;;;;;;132.82923633285;11.83493216166;0.238197;0.176925;-0.2857
Gaia DR3 604924290848519168;132.82900487370;11.96971949241;1636148068921376768;604924290848519168;1684900838;0.0128;0.0077;1.1621;0.0151;76.9127;11.474;-11.079;0.016;-2.983;0.013;-0.3074;-0.2020;-0.0696;0.0256;0.0776;0.0091;0.0232;0.2141;-0.1917;-0.2811;398;392;389;9;0.8613;7.3496e+02;0.073;8.1190e+00;31;0;1.483;;;;;;;;46;19;0.023475;47;9;0;1.030e-01;2.235e+01;0;0;1.030;;;;;;;;;0;385;286968.78770;4.95950e+01;5.78624e+03;12.042780;0.002762;43;1.32421e+05;6.61245e+01;2.00261e+03;12.533648;0.002842;42;2.19416e+05;7.97898e+01;2.74992e+03;11.394725;0.003800;1.226;0;0;0;1;0;1.138923;0.490868;0.648055;35.20;0.27;1;26;5;16;4.5309e+01;-1.7381e+00;0.942449;902.362;3.43;5000.0;3.0;0.00;222;7.2629;4.7479;19;11.132083;0.008559;20;;NOT_AVAILABLE;215.51624424919;31.97074687015;131.91749168689;-5.45708300984;0;0;0;1;1;0;0;0;0;1;0;0.000000;0.000000;0.999978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;173066923;1237671125370404986;0.067937;1;0;8;;;;;;;;;;;URAT1-510153148;0.050283;40;64996376;1;0;J085118.97+115811.0;0.170391;8;455757483;1;0;38580085;5188890;0.082143;1;0;8;N8X7000575;0.233769;8;621928566;1;0;;;;;;08511897+1158110;0.041987;8;329202569;1;0;;;;;;132.82905520829;11.96973274927;0.256708;0.205705;-0.2820
Gaia DR3 604908352225724288;132.75340689160;11.66046814869;1636148068921376768;604908352225724288;1565908442;0.0148;0.0083;2.7117;0.0172;157.6975;7.072;-5.932;0.018;3.851;0.014;-0.2401;-0.0845;-0.1470;0.0539;0.0995;0.0610;-0.0518;0.1645;-0.0529;-0.2621;353;353;351;2;3.2656;6.6671e+02;0.081;9.0730e+00;31;0;1.541;;;;;;;;40;18;0.026345;42;9;0;6.522e-02;1.221e+01;0;0;1.126;;;;;;;;;0;362;196019.47551;3.67962e+01;5.32717e+03;12.456619;0.002763;41;1.02452e+05;5.21032e+01;1.96632e+03;12.812245;0.002844;41;1.32220e+05;5.31419e+01;2.48806e+03;11.944652;0.003804;1.197;0;1;0;1;0;0.867594;0.355626;0.511968;30.08;1.36;1;15;3;9;2.0445e+01;1.6288e+00;0.014863;870.879;14.66;5500.0;4.0;0.25;222;;;;11.762418;0.027698;12;2.169669e+01;NOT_AVAILABLE;215.81051399534;31.77412219867;131.93030636850;-5.77480803483;0;0;0;1;1;1;0;0;1;1;0;0.000000;0.000000;0.999848;5677.1;5675.8;5679.3;4.3941;4.3858;4.4003;0.0945;0.0900;0.1003;366.8445;363.3220;372.3851;0.0004;0.0000;0.0021;0.0004;0.0000;0.0017;0.0002;0.0000;0.0009;PHOENIX;;;;;1222046922;121991327533812923;0.015088;1;0;8;170796866;1237671262272225498;0.025012;1;0;8;;;;;;813-1461-1;0.318401;8;1546735;1;URAT1-509150299;0.044323;40;63973972;1;0;J085100.82+113937.6;0.045971;8;453948940;1;0;38446426;5188567;1.982923;1;0;8;N8X7000166;0.360739;8;619864437;1;0;;;;;;08510082+1139375;0.091758;8;328266669;1;0;;;;;;132.75343381011;11.66045103520;0.293672;0.220964;-0.2646
Gaia DR3 604917934296937344;132.91341313065;11.83438928720;1636148068921376768;604917934296937344;1803356461;0.0134;0.0069;1.1954;0.0161;74.2310;11.453;-11.010;0.017;-3.155;0.012;-0.2159;-0.0149;-0.1380;-0.0001;0.0442;0.0270;-0.0388;0.3055;-0.2867;-0.1985;454;454;449;5;1.2888;9.0615e+02;0.074;8.4937e+00;31;0;1.574;;;;;;;;52;18;0.023842;55;11;0;7.984e-02;1.257e+01;0;0;1.043;;;;;;;;;0;446;270913.28055;5.08177e+01;5.33108e+03;12.105291;0.002763;47;1.50466e+05;5.31580e+01;2.83054e+03;12.394946;0.002816;45;1.72374e+05;8.37247e+01;2.05881e+03;11.656719;0.003816;1.192;0;0;0;0;0;0.738227;0.289655;0.448572;34.80;0.90;1;28;10;14;3.6191e+01;-2.6390e-01;0.765919;902.362;15.05;6500.0;4.0;0.00;444;8.3277;16.3511;14;11.471137;0.017377;18;3.530849e+01;NOT_AVAILABLE;215.70187714259;31.98924917950;132.03430822789;-5.56485927563;0;0;0;1;1;1;0;0;1;1;0;0.000000;0.000000;0.999813;6047.4;6041.4;6053.8;3.8692;3.8610;3.8772;-0.3143;-0.3191;-0.3098;831.7420;820.1282;843.9112;0.0378;0.0345;0.0414;0.0321;0.0293;0.0351;0.0173;0.0157;0.0189;PHOENIX;;;;;1226150528;122201329135211799;0.043590;1;0;8;;;;;;;;;;;;;;;;;URAT1-510153318;0.057313;40;64546075;1;0;J085139.22+115003.7;0.040725;8;454965812;1;0;38521864;5188752;0.040010;1;0;8;N8X7000702;0.091455;8;621017435;1;0;;;;;;08513923+1150038;0.066494;8;328776956;1;0;;;;;;132.91346312685;11.83440330804;0.267551;0.189188;-0.1979
Gaia DR3 604917423196609280;132.85566477407;11.79284468973;1636148068921376768;604917423196609280;1232054782;0.0521;0.0315;1.0056;0.0617;16.3042;12.938;-12.803;0.065;-1.869;0.057;-0.3138;-0.0232;0.1094;-0.2169;0.2245;-0.1320;0.3341;0.2019;0.0279;-0.3176;345;345;344;1;53.0112;7.0000e+03;0.434;2.4688e+02;31;1;1.568;;;;;;;;40;16;0.099205;43;7;1;8.528e-02;1.351e+01;0;0;3.618;;;;;;;;;0;354;208277.85450;4.19092e+01;4.96974e+03;12.390759;0.002764;40;1.14249e+05;6.31683e+01;1.80864e+03;12.693913;0.002854;40;1.34432e+05;5.46409e+01;2.46027e+03;11.926642;0.003805;1.194;0;0;0;0;0;0.767270;0.303153;0.464117;31.63;1.50;1;19;9;13;2.4916e+01;3.8325e+00;0.000004;870.954;21.28;6000.0;4.0;0.50;444;;;;11.701208;0.018737;10;2.541607e+01;NOT_AVAILABLE;215.71845933289;31.92052436180;131.99100772447;-5.62021197969;0;0;0;1;1;1;0;0;1;1;0;0.000000;0.000000;0.999843;6019.6;5986.6;6125.6;3.9753;3.8734;4.1469;-0.2812;-0.3093;-0.2255;775.6292;579.2445;923.8424;0.0749;0.0593;0.1309;0.0635;0.0502;0.1112;0.0340;0.0269;0.0597;PHOENIX;;;;;1225173727;122151328557711909;0.021721;1;0;8;171773114;1237671262272291012;0.040293;1;0;8;;;;;;;;;;;URAT1-509150439;0.052706;40;64409511;1;0;J085125.36+114734.2;0.020946;8;454723239;1;0;38503804;5188729;0.514968;1;0;8;N8X7000772;0.107650;8;620741087;1;0;;;;;;08512536+1147342;0.104341;8;328654799;1;0;;;;;;132.85572290176;11.79285299620;1.040286;0.897799;-0.3074
Gaia DR3 604918591427678848;132.95806939631;11.82531999185;1636148068921376768;604918591427678848;833106637;0.0124;0.0064;1.2093;0.0157;77.1439;11.751;-11.375;0.015;-2.948;0.010;-0.1719;0.0499;-0.0640;0.0513;0.0625;0.0802;-0.1054;0.4362;-0.3166;-0.2174;400;400;398;2;-1.7037;5.3784e+02;0.037;1.8942e+00;31;1;1.567;;;;;;;;45;17;0.022545;49;10;0;5.477e-02;1.073e+01;0;0;0.939;;;;;;;;;0;425;192678.04450;3.62180e+01;5.31995e+03;12.475286;0.002763;46;1.05498e+05;5.64476e+01;1.86895e+03;12.780437;0.002850;45;1.24673e+05;4.53008e+01;2.75210e+03;12.008468;0.003800;1.195;0;0;0;1;0;0.771969;0.305150;0.466819;33.65;0.97;1;22;3;13;2.1801e+01;-2.6759e-01;0.432267;870.954;14.40;6000.0;4.0;0.00;222;;;;11.808335;0.020027;19;2.319887e+01;NOT_AVAILABLE;215.73316056566;32.02515045380;132.07904490379;-5.56168704405;0;0;0;1;1;1;0;0;0;1;0;0.000000;0.000000;0.999874;;;;;;;;;;;;;;;;;;;;;;;;;;;1225937552;122191329581700897;0.018117;1;0;8;172011458;1237671262272290968;0.119026;1;0;8;;;;;;;;;;;URAT1-510153366;0.056610;40;64516541;1;0;J085149.94+114931.1;0.007951;8;454913162;1;0;;;;;;;N8X7000717;0.227506;8;620956846;1;0;;;;;;08514994+1149311;0.059564;8;328750639;1;0;;;;;;132.95812104761;11.82533309353;0.249070;0.163662;-0.2213
