source_id,ra,dec,phot_g_mean_mag,bp_rp,parallax,pmra,pmdec,ruwe,sep_arcmin
598696455125371904,132.82095633148617,11.330539740074373,21.006432,0.53764534,,,,,29.170583963363942
598696622629392256,132.8521332619781,11.3548220053534,20.778814,1.3298855,2.945898538901597,-1.766981937446627,6.344594600869359,1.0414014,27.758531449155615
598696794432318208,132.87967513578408,11.357090150740783,20.802872,1.9730816,,,,,27.763211039474896
598697211039659008,132.87735776930646,11.402507369896984,17.628382,2.2272835,2.767237722549639,12.714254081976277,-4.451472305034634,0.94761735,25.041346163097643
598882611893037824,132.74231857896268,11.323931398838956,20.871117,2.1471653,2.4614627149200903,-5.912306564266924,-1.7109216383164343,0.9809917,29.962900388193763
598883986282463104,132.67966219819647,11.378655877466027,15.945396,0.90182495,0.5991707109525832,3.5826761400030316,-7.556052235285045,0.99397147,27.635970056732784
598885017076940800,132.83235845437815,11.405992419633932,20.880405,2.0008087,,,,,24.646249426218535
598885639845004672,132.71960587476238,11.415154993618621,19.733545,0.6708698,0.028504135891320222,0.2258340223329259,-3.2074657146909034,1.0293818,24.87620029784714
598885949082636672,132.80815897294264,11.439076327052913,15.795624,0.9130125,0.7379915913443481,-3.7345493370299367,-1.1203016591422723,1.0459636,22.679026612582746
598886052161980160,132.816195631695,11.456741403294673,14.511745,1.1039429,1.3173100251851277,4.498515625150868,-11.652729782561323,1.0613403,21.603712529135976
598886086521588096,132.8237615935849,11.469520677994034,18.744495,0.88687706,-0.43490789577557715,-2.126838706294386,-1.5035521243427623,1.0162144,20.830886445708966
598886739356653696,132.59058837259605,11.375826451597105,12.253284,1.0955734,,,,,29.825353874557106
598886769421272192,132.6086809249426,11.383012719853722,15.658077,0.9399595,0.8214146692630305,4.0853348069533,-3.6203050512579984,0.9946891,28.961199717734875
598887598350109056,132.59136630492742,11.404820180651944,16.279142,0.8604212,0.5225015162381291,2.4354715311626682,-1.082787333021498,0.9891818,28.271297436046005
598887662774591232,132.6212367335052,11.416160197190015,20.672188,1.5302963,0.2237756176739822,0.12065026187271155,-5.640670294392664,1.0785179,26.85078740152182
598888556127709184,132.6324713697395,11.482624799687642,19.000772,0.8002434,0.3397526477860028,0.10618492570912164,-6.272684110933211,1.0184699,23.01701973005709
598888594782503936,132.7130292856216,11.431668667085415,19.025839,2.0379105,1.0970754498652167,-1.9141846614005815,2.7033497430154068,1.0372484,24.020804404474603
598889002804300672,132.7198641426197,11.460786052460861,17.701323,0.7020054,0.1829768461824627,-0.579593601427303,0.04454441011465167,0.9616581,22.230658142315495
598890106610992896,132.6626495773259,11.501978910429749,16.00579,1.2200623,1.171919203472662,-10.862540136277682,-3.0843589698851575,1.0562465,21.156315674183396
598890140970728192,132.67799991516017,11.513761945222912,19.88199,1.1449032,-0.17307375532508026,-0.46189340626116593,-0.12735066697702996,0.9871678,20.12434475675338
598900169719275264,132.5946515465346,11.47805988320892,19.442434,2.3404255,1.1978921493998969,-8.939892334327695,-17.23351315103362,0.99603814,24.414522306040663
598901410965034752,132.5709300122821,11.53774645055974,19.852228,2.1139946,0.5665762357514934,-0.21441145632450576,-0.09563025239616092,1.0852779,22.42765550721383
598901685842833280,132.55458334276733,11.552558979916924,15.216683,0.90435123,0.9637995831896339,-0.2340561879472481,3.552292216284447,0.9659556,22.44161898818642
598902300025208960,132.63214845641673,11.55494432308514,20.91676,1.433218,,,,,19.36633360891218
598902647915490304,132.6623588088968,11.573332314851825,16.830984,0.7712765,0.2658299597717531,-2.0873461089809933,-1.5131215993391935,0.98095554,17.450933040107433
598903055939431168,132.61173869065223,11.563032377493549,20.55387,1.1776352,-0.36970707932550845,-2.174895811015703,-2.057728756889869,1.0344286,19.71440443912656
598903296455566848,132.58331751285033,11.57800581016281,20.320757,2.340742,1.95917135519837,-13.125625799901623,-9.328085101199912,0.97418493,20.167884532108236
598903678707639296,132.65041197335998,11.618320192932396,15.931817,1.2123566,1.1288742969554475,-10.891827750680374,-2.93656727056148,1.0489414,15.7124788600022
598904297182966272,132.43394420080162,11.52779801829852,18.528145,2.5866375,2.6357914623434815,-4.5192761453054375,6.292074354841112,1.1091398,28.78307818107253
598904911363198592,132.47737263498422,11.575345470646665,18.32686,1.4848557,0.5407252516575941,-2.3252109802390146,-2.310441484728816,0.9995896,25.037364798193167
598905667279342080,132.459577621754,11.58737985184584,20.768139,0.92879677,,,,,25.500203918405425
598906010876658944,132.42232701460054,11.613595873935482,20.942524,1.9955215,,,,,26.611316554673486
598906461846468992,132.5102639582147,11.598715650810169,19.739397,2.3843555,0.8266880468661559,-9.423601593966785,-2.8328948783144883,1.0009019,22.649261408402587
598906732429341312,132.5844898700015,11.619604249680611,16.75273,1.8320684,1.3145585034562888,-6.620538216983135,-2.961174401331922,0.96801347,18.425545931723892
598907179108023040,132.59886095277287,11.66778927250933,20.28531,1.979126,0.128941041339088,-4.598065899016232,-3.8707849991932597,0.97987753,16.00946529244572
598907247825484160,132.58078931272505,11.667905391273163,20.08006,1.853054,1.2281688629297867,14.49599343583737,-20.75709536128102,1.0237896,16.89707255252316
598908278617636608,132.5491102154078,11.709251858382265,20.202227,2.2784176,0.6197134025778058,-10.794494916550594,-2.663189141454448,1.0093817,17.441007787781565
598952400816572160,132.3759861906497,11.59318800084315,14.47331,1.8595953,3.8253783370948597,-7.236596962397124,-17.601065047140512,2.921708,29.593621726850415
598952843198232064,132.36214344514738,11.625156996013404,19.627232,0.8312664,0.5670256403763153,-1.2118132342819745,-0.036986317230934644,0.98025787,29.521193759785465
598953083718257664,132.44188069971543,11.636005659044136,20.806997,0.8563862,-0.42466938899954926,-3.6344460002676175,-4.186159238638517,1.1682817,24.982478708246294
598953191089923584,132.38760475078797,11.632769278157777,19.774988,2.3428307,1.4962393855575142,-2.3204399508334603,-15.404263872203584,0.99318415,27.965709445582583
